Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
pip171-vm143-prod-latamcleanstore-web03,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,3.60004,0.330443,3.269596,UP
kubernetes-a0ee29861b5e54fedab09ea55e128ca1,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,3.60004,0.340776,3.259264,UP
disk20008-prod-jenkins01-data01,KioSoft Globalazure  Subscription,rg20001-prod-devops,71.643981,74.897505,-3.253524,DOWN
pip20019-prod-csc-elk01,KioSoft Globalazure  Subscription,rg20003-prod-csc,3.223895,0.0,3.223895,NEW
kubernetes-a24d1cf29a100455f9dbb5ba32f9558e,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,3.197145,0.0,3.197145,NEW
903b31ab-b4c9-4dfc-8cac-a244f6084880,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,3.169365,-3.169365,REMOVED
kubernetes-ac0597ebd2d34470aaf8e6673dd4caa4,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,3.169365,-3.169365,REMOVED
kubernetes-ae5708c7e81c84d1da14e19d667ebb31,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,3.169365,-3.169365,REMOVED
disk20003-prod-seatunnel01,KioSoft Globalazure  Subscription,rg20000-prod-olap,71.643981,74.795665,-3.151684,DOWN
prod-sage-db01_osdisk_1_6b2c346cebe44aab9278af1c3b66f401,KioSoft Globalazure  Subscription,sage300c_v2022,71.643981,74.795665,-3.151684,DOWN
vm127-prod-tcn_osdisk_1_b08e2fba98cb40e38e775fed78d75726,KioSoft Globalazure  Subscription,rg54-prod-tcn,71.643981,74.795665,-3.151684,DOWN
vm73-prod-modem_osdisk_1_237266ce8eac4256b70c15497445e36c,KioSoft Globalazure  Subscription,rg50-prod-modem,71.643981,74.795665,-3.151684,DOWN
vm10008-stage-market-web01,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,14.497675,11.346018,3.151658,UP
restore-mysql12-prod-cleanstore-latest-utc-2025030300,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,3.0995,0.0,3.0995,NEW
disk10005-test-elk01-data01,KioSoft Globalazure  Subscription,rg10002-test-devops,71.643981,74.693825,-3.049844,DOWN
tmsnginx,KioSoft Globalazure  Subscription,armtmsrsc,14.425912,11.454099,2.971813,UP
mysqldisk,KioSoft Globalazure  Subscription,kiosoft-test,37.785501,34.994631,2.79087,UP
kiosoft-retail_osdisk_1_adc389b617aa4712a7d0b2ec7c2355bb,KioSoft Globalazure  Subscription,kiosoft-test,22.652797,25.329507,-2.67671,DOWN
sutserver01,KioSoft Globalazure  Subscription,sut,80.699679,83.345328,-2.645649,DOWN
pip20008-prod-csc-elk,KioSoft Globalazure  Subscription,rg20003-prod-csc,1.130013,3.720199,-2.590186,DOWN
prometheus-backup,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,0.0,2.553588,-2.553588,REMOVED
ttiacr,KioSoft Globalazure  Subscription,commandcenter,34.823374,37.374771,-2.551396,DOWN
dbmonitor-osdisk-20241018-133820,KioSoft Globalazure  Subscription,dbmonitor,39.532283,42.058493,-2.52621,DOWN
restore-sage-ip,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,2.477895,0.0,2.477895,NEW
vm73-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,81.089566,83.549469,-2.459903,DOWN
pip9999-test-restore,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,2.399064,0.0,2.399064,NEW
restore-mysql19-prod-cleanstore-db02-slowest-utc-20250924133203,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,2.161244,0.0,2.161244,NEW
restore-mysql19-prod-cleanstore-db02-utc-20250924133303,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,2.140286,0.0,2.140286,NEW
pvc-853cd105-9699-44ed-8ee6-facc0f4676bc,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,2.080298,-2.080298,REMOVED
restore-mysql03-prod-modem-latest-0816-replica01,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,2.052152,-2.052152,REMOVED
vm139-prod-universal-web03,KioSoft Globalazure  Subscription,cmk,39.93806,41.989411,-2.05135,DOWN
azurebackup_vm20004-prod-jenkins01_929623888926113461,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,13.290338,15.295843,-2.005505,DOWN
azurebackup_vm10003-test-elk01_929623888568447995,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,26.669693,24.695213,1.97448,UP
disk20020-prod-elk-os,KioSoft Globalazure  Subscription,rg20002-prod-om,19.285836,17.348988,1.936848,UP
vm138-prod-cleanstore-web10,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,39.858384,41.591469,-1.733086,DOWN
sa25omdryrun01,KioSoft Globalazure  Subscription,rg48-stage-cleanstore,39.258153,40.984369,-1.726215,DOWN
waftestvm_osdisk_1_ed8e841fc1ad41f4a04deba3d34d2175-eastus,KioSoft Globalazure  Subscription,kiosoft-test,37.800574,39.500205,-1.699631,DOWN
azurebackup_snipe-it_246291976234172,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.188822,1.885035,-1.696213,DOWN
